"year","debt_pct","country"
1990,53.62628,"United States"
1991,58.7273125,"United States"
1992,61.7491875,"United States"
1993,63.8878375,"United States"
1994,64.2029625,"United States"
1995,64.7243825,"United States"
1996,64.4982675,"United States"
1997,63.17769,"United States"
1998,61.3389325,"United States"
1999,58.9942875,"United States"
2000,55.61407,"United States"
2001,54.931445,"United States"
2002,56.6450625,"United States"
2003,58.717535,"United States"
2004,60.1163825,"United States"
2005,60.8082975,"United States"
2006,61.4843825,"United States"
2007,62.098165,"United States"
2008,67.13855,"United States"
2009,80.9604425,"United States"
2010,88.9541725,"United States"
2011,93.94041,"United States"
2012,98.3683875,"United States"
2013,99.829175,"United States"
2014,101.097355,"United States"
2015,100.267225,"United States"
2016,103.9553875,"United States"
2017,102.5260725,"United States"
2018,103.8065925,"United States"
2019,104.4148675,"United States"
2020,122.302125,"United States"
2021,120.93075,"United States"
2022,118.35134,"United States"
2023,117.697025,"United States"
2024,120.396875,"United States"
1990,28.48,"United Kingdom"
1991,28.481,"United Kingdom"
1992,33.227,"United Kingdom"
1993,37.96,"United Kingdom"
1994,40.724,"United Kingdom"
1995,43.653,"United Kingdom"
1996,43.714,"United Kingdom"
1997,44.132,"United Kingdom"
1998,41.97,"United Kingdom"
1999,40.41,"United Kingdom"
2000,37.686,"United Kingdom"
2001,34.958,"United Kingdom"
2002,35.434,"United Kingdom"
2003,36.764,"United Kingdom"
2004,39.802,"United Kingdom"
2005,41,"United Kingdom"
2006,42.058,"United Kingdom"
2007,43.174,"United Kingdom"
2008,50.827,"United Kingdom"
2009,64.915,"United Kingdom"
2010,75.86,"United Kingdom"
2011,81.425,"United Kingdom"
2012,84.483,"United Kingdom"
2013,85.316,"United Kingdom"
2014,87.094,"United Kingdom"
2015,87.867,"United Kingdom"
2016,87.825,"United Kingdom"
2017,86.723,"United Kingdom"
2018,86.345,"United Kingdom"
2019,85.657,"United Kingdom"
2020,105.84,"United Kingdom"
2021,105.131,"United Kingdom"
2022,99.614,"United Kingdom"
2023,100.354,"United Kingdom"
2024,101.227,"United Kingdom"
1990,52.0126920923287,"Japan"
1991,38.1761873627571,"Japan"
1992,38.9149343503625,"Japan"
1993,42.1159418336413,"Japan"
1994,55.1119058491208,"Japan"
1995,60.7712223705867,"Japan"
1996,65.410061690325,"Japan"
1997,72.9967174775097,"Japan"
1998,80.4782837717387,"Japan"
1999,90.653794128391,"Japan"
2000,98.9338230693531,"Japan"
2001,102.846758013061,"Japan"
2002,111.876249693267,"Japan"
2003,121.915320879915,"Japan"
2004,127.547629783025,"Japan"
2005,128.207492888471,"Japan"
2006,128.599667918729,"Japan"
2007,132.222046474041,"Japan"
2008,138.574274218025,"Japan"
2009,156.984485342014,"Japan"
2010,160.498098433606,"Japan"
2011,175.567641219028,"Japan"
2012,183.706209324867,"Japan"
2013,186.564297348971,"Japan"
2014,192.112850344345,"Japan"
2015,194.584061217143,"Japan"
2016,193.23043783523,"Japan"
2017,193.489159658852,"Japan"
2018,197.335609410989,"Japan"
2019,198.010309174872,"Japan"
2020,215.820389662853,"Japan"
2021,216.135005387219,"Japan"
2022,215.90635961078,"Japan"
